PPAR_SIGNALING_PATHWAY	dummytext	CD36	SLC27A1	SLC27A4	SLC27A2	SLC27A5	SLC27A6	FABP1	FABP2	FABP3	FABP4	FABP5	FABP6	FABP7	PPARA	RXRA	RXRB	RXRG	PPARD	PPARG	APOA1	APOA2	APOC3	APOA5	PLTP	FADS2	SCD	SCD5	CYP7A1	CYP8B1	NR1H3	CYP27A1	DBI	LPL	ACSL6	ACSL4	ACSL1	ACSL5	ACSL3	ACSBG1	ACSBG2	OLR1	EHHADH	ACAA1	SCP2	ACOX3	ACOX1	ACOX2	CPT1A	CPT1B	CPT1C	CPT2	ACADL	ACADM	ANGPTL4	SORBS1	PLIN1	ADIPOQ	MMP1	UCP1	ILK	PDPK1	UBC	PCK1	PCK2	GK2	GK	AQP7	HMGCS2	ME1																																																																																																																																																																																																																																																																																						
MAPK_SIGNALING_PATHWAY	dummytext	CACNA1A	CACNA1B	CACNA1C	CACNA1D	CACNA1E	CACNA1F	CACNA1G	CACNA1H	CACNA1I	CACNA1S	CACNA2D1	CACNA2D2	CACNA2D3	CACNA2D4	CACNB1	CACNB2	CACNB3	CACNB4	CACNG1	CACNG2	CACNG3	CACNG4	CACNG5	CACNG6	CACNG7	CACNG8	PRKACA	PRKACB	PRKACG	PRKX	PRKCA	PRKCB	PRKCG	GNA12	GNG12	protein)	PPP3CA	PPP3CB	PPP3CC	PPP3R1	PPP3R2	RASGRF1	RASGRF2	RASGRP1	RASGRP2	RASGRP3	RASGRP4	RAPGEF2	NF1	RASA1	RASA2	RAP1A	RAP1B	NGF	BDNF	NTF3	NTF4	EGF	FGF1	FGF2	FGF3	FGF4	FGF17	FGF6	FGF7	FGF8	FGF9	FGF10	FGF11	FGF12	FGF13	FGF14	FGF16	FGF5	FGF18	FGF19	FGF20	FGF21	FGF22	FGF23	PDGFA	PDGFB	NTRK1	NTRK2	EGFR	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	GRB2	SOS1	SOS2	HRAS	KRAS	NRAS	RRAS	RRAS2	MRAS	BRAF	RAF1	MOS	MAP2K1	MAP2K2	LAMTOR3	MAPK1	MAPK3	MKNK1	MKNK2	RPS6KA3	RPS6KA1	RPS6KA2	RPS6KA6	ATF4	ELK1	ELK4	MYC	SRF	FOS	MAPT	STMN1	PLA2G4E	PLA2G4A	JMJD7-PLA2G4B	PLA2G4B	PLA2G4C	PLA2G4D	PLA2G4F	TNF	IL1A	IL1B	TGFB1	TGFB2	TGFB3	TNFRSF1A	IL1R1	IL1R2	TGFBR1	TGFBR2	FASLG	FAS	CD14	RAC1	RAC2	RAC3	CDC42	CASP3	TRAF2	DAXX	TRAF6	GADD45A	GADD45B	GADD45G	TAB1	TAB2	ECSIT	MAP4K3	MAP4K4	MAP4K1	PAK1	PAK2	STK4	STK3	MAP4K2	MAP3K8	MAP3K1	MAP3K11	MAP3K2	MAP3K3	MAP3K13	MAP3K12	ZAK	MAP3K6	MAP3K5	MAP3K7	MAP3K4	TAOK2	TAOK3	TAOK1	MAP2K4	MAP2K7	MAP2K3	MAP2K6	MAPK8IP1	MAPK8IP2	MAPK8IP3	FLNA	FLNC	FLNB	CRK	CRKL	ARRB1	ARRB2	MAPK8	MAPK10	MAPK9	MAPK11	MAPK12	MAPK13	MAPK14	MAPKAPK5	MAPKAPK2	MAPKAPK3	RPS6KA5	RPS6KA4	CDC25B	NFATC1	NFATC3	JUN	JUND	ATF2	TP53	DDIT3	MAX	MEF2C	HSPB1	AKT1	AKT2	AKT3	PPM1A	PTPRR	PTPN5	PTPN7	DUSP1	DUSP4	DUSP2	DUSP7	DUSP8	DUSP5	DUSP6	DUSP10	DUSP16	DUSP9	DUSP3	PPP5C	PPP5D1	PPM1B	HSPA8	HSPA1A	HSPA2	HSPA1L	HSPA1B	HSPA6	MECOM	MAP2K5	MAPK7	NR4A1	MAP3K14	CHUK	IKBKB	IKBKG	NLK	NFKB1	NFKB2	RELA	RELB																																																																																										
ERBB_SIGNALING_PATHWAY	dummytext	EGF	TGFA	AREG	EGFR	ERBB2	PLCG1	PLCG2	CAMK2A	CAMK2D	CAMK2B	CAMK2G	PRKCA	PRKCB	PRKCG	CBLC	CBL	CBLB	STAT5A	STAT5B	SRC	PTK2	CRK	CRKL	ABL1	ABL2	NCK1	NCK2	PAK1	PAK2	PAK3	PAK4	PAK6	PAK7	MAP2K4	MAP2K7	MAPK8	MAPK10	MAPK9	JUN	ELK1	BTC	HBEGF	EREG	ERBB3	NRG1	NRG2	ERBB4	SHC1	SHC2	SHC3	SHC4	GRB2	SOS1	SOS2	HRAS	KRAS	NRAS	ARAF	BRAF	RAF1	MAP2K1	MAP2K2	MAPK1	MAPK3	MYC	GAB1	NRG3	NRG4	PIK3CA	PIK3CD	PIK3CB	PIK3CG	PIK3R1	PIK3R5	PIK3R2	PIK3R3	AKT1	AKT2	AKT3	MTOR	RPS6KB1	RPS6KB2	EIF4EBP1	BAD	GSK3B	CDKN1A	CDKN1B																																																																																																																																																																																																																																																																				
RAS_SIGNALING_PATHWAY	dummytext	EGF	FGF1	FGF2	FGF3	FGF4	FGF17	FGF6	FGF7	FGF8	FGF9	FGF10	FGF11	FGF12	FGF13	FGF14	FGF16	FGF5	FGF18	FGF19	FGF20	FGF21	FGF22	FGF23	NGF	INS	IGF1	PDGFA	PDGFB	PDGFC	PDGFD	CSF1	KITLG	VEGFA	VEGFB	PGF	VEGFC	FIGF	HGF	ANGPT1	ANGPT2	ANGPT4	EFNA1	EFNA2	EFNA3	EFNA4	EFNA5	EGFR	FGFR1	FGFR2	FGFR3	FGFR4	NGFR	INSR	IGF1R	PDGFRA	PDGFRB	CSF1R	KIT	FLT1	FLT4	KDR	MET	TEK	EPHA2	GRB2	GAB1	GAB2	SHC1	SHC2	SHC3	SHC4	PTPN11	SOS1	SOS2	PLCG1	PLCG2	RASGRP1	RASGRP2	RASGRP3	RASGRP4	ZAP70	LAT	HTR7	GNB1	GNB2	GNB3	GNB4	GNB5	GNG2	GNG3	GNG4	GNG5	GNG7	GNG8	GNG10	GNG11	GNG12	protein)	GNG13	GNGT1	GNGT2	PRKACA	PRKACB	PRKACG	PRKX	RASGRF1	RASGRF2	GRIN1	GRIN2A	GRIN2B	CALML3	CALM2	CALM3	CALM1	CALML6	CALML5	HRAS	KRAS	NRAS	MRAS	RRAS	RRAS2	NF1	RASA1	RASA2	RASA3	RASA4	RASA4B	SYNGAP1	RASAL1	RASAL2	RASAL3	RASSF1	RASSF5	STK4	TIAM1	RAC1	RAC2	RAC3	PAK1	PAK2	PAK3	PAK4	PAK6	PAK7	RHOA	PIK3CA	PIK3CD	PIK3CB	PIK3CG	PIK3R1	PIK3R5	PIK3R2	PIK3R3	AKT1	AKT2	AKT3	IKBKG	CHUK	IKBKB	NFKB1	RELA	BAD	BCL2L1	FOXO4	FASLG	MLLT4	RAF1	MAP2K1	MAP2K2	MAPK1	MAPK3	PLA1A	PLA2G10	PLA2G2D	PLA2G2E	PLA2G3	PLA2G2F	PLA2G12A	PLA2G12B	PLA2G1B	PLA2G5	PLA2G2A	PLA2G2C	PLA2G4E	PLA2G4A	JMJD7-PLA2G4B	PLA2G4B	PLA2G4C	PLA2G4D	PLA2G4F	PLA2G6	PLA2G16	ELK1	ETS1	ETS2	BRAP	KSR1	KSR2	RAPGEF5	RAP1A	RAP1B	RALGDS	RGL1	RGL2	RALA	RALB	MAPK8	MAPK10	MAPK9	EXOC2	TBK1	REL	PLD1	PLD2	RALBP1	CDC42	PLCE1	PRKCA	PRKCB	PRKCG	RIN1	ABL1	ABL2	RAB5A	RAB5B	RAB5C	ARF6																																																																																																																							
RAP1_SIGNALING_PATHWAY	dummytext	RAP1A	RAP1B	MRAS	RAPGEF5	DOCK4	GRIN1	GRIN2A	GRIN2B	CALML3	CALM2	CALM3	CALM1	CALML6	CALML5	F2R	F2RL3	P2RY1	FPR1	LPAR1	LPAR2	LPAR3	LPAR4	LPAR5	ADORA2A	ADORA2B	GNAS	ADCY1	ADCY2	ADCY3	ADCY4	ADCY5	ADCY6	ADCY7	ADCY8	ADCY9	RAPGEF3	RAPGEF4	GNAQ	PLCB1	PLCB2	PLCB3	PLCB4	RASGRP3	RASGRP2	EGF	FGF1	FGF2	FGF3	FGF4	FGF17	FGF6	FGF7	FGF8	FGF9	FGF10	FGF11	FGF12	FGF13	FGF14	FGF16	FGF5	FGF18	FGF19	FGF20	FGF21	FGF22	FGF23	NGF	INS	IGF1	PDGFA	PDGFB	PDGFC	PDGFD	CSF1	KITLG	VEGFA	VEGFB	PGF	VEGFC	FIGF	HGF	ANGPT1	ANGPT2	ANGPT4	EFNA1	EFNA2	EFNA3	EFNA4	EFNA5	EGFR	FGFR1	FGFR2	FGFR3	FGFR4	NGFR	INSR	IGF1R	PDGFRA	PDGFRB	CSF1R	KIT	FLT1	FLT4	KDR	MET	TEK	EPHA2	CRK	CRKL	RAPGEF1	BCAR1	CDH1	CTNNB1	MAGI1	MAGI2	MAGI3	RAPGEF2	RAPGEF6	LAT	FYB	LCP2	SKAP1	PLCG1	PRKCA	PRKCB	PRKCG	PRKD1	PRKD3	PRKD2	DRD2	CNR1	GNAI1	GNAI3	GNAI2	GNAO1	RAP1GAP	SIPA1L1	SIPA1	SIPA1L2	SIPA1L3	ID1	THBS1	RALGDS	RALA	RALB	RAC1	RAC2	RAC3	APBB1IP	TLN1	TLN2	ITGA2B	ITGB3	PFN3	PFN1	PFN2	PFN4	VASP	ACTB	ACTG1	ARAP3	RHOA	SRC	FARP2	CDC42	TIAM1	PARD3	PARD6A	PARD6G	PARD6B	PRKCZ	PRKCI	MLLT4	CTNND1	KRIT1	RGS14	RASSF5	ITGAL	ITGAM	ITGB2	ITGB1	BRAF	RAF1	MAP2K1	MAP2K2	MAPK1	MAPK3	MAP2K3	MAP2K6	MAPK11	MAPK12	MAPK13	MAPK14	PIK3CA	PIK3CD	PIK3CB	PIK3CG	PIK3R1	PIK3R5	PIK3R2	PIK3R3	AKT1	AKT2	AKT3	PLCE1	HRAS	KRAS	NRAS	RRAS	VAV2																																																																																																																																								
CALCIUM_SIGNALING_PATHWAY	dummytext	SLC8A1	SLC8A2	SLC8A3	ATP2B1	ATP2B3	ATP2B4	ATP2B2	CHRM1	CHRM3	CHRM5	ADORA2A	ADORA2B	ADRB1	ADRB2	ADRB3	DRD1	DRD5	HRH2	HTR4	HTR5A	HTR6	HTR7	GNAS	GNAL	ADCY1	ADCY2	ADCY3	ADCY4	ADCY7	ADCY8	ADCY9	PRKACA	PRKACB	PRKACG	PRKX	PLN	ATP2A1	ATP2A3	ATP2A2	STIM1	STIM2	ORAI1	ORAI2	ORAI3	CACNA1C	CACNA1D	CACNA1F	CACNA1S	CACNA1A	CACNA1B	CACNA1E	CACNA1G	CACNA1H	CACNA1I	CHRNA7	P2RX1	P2RX2	P2RX3	P2RX4	P2RX5	P2RX7	P2RX6	GRIN1	GRIN2A	GRIN2C	GRIN2D	RYR1	RYR2	RYR3	CYSLTR1	CYSLTR2	CHRM2	ADRA1A	ADRA1B	ADRA1D	AGTR1	EDNRA	EDNRB	F2R	GRM1	GRM5	GRPR	HRH1	HTR2A	HTR2B	HTR2C	LHCGR	NTSR1	OXTR	AVPR1A	AVPR1B	LTB4R2	PTAFR	PTGER1	PTGER3	PTGFR	BDKRB1	BDKRB2	TACR1	TACR2	TACR3	TBXA2R	TRHR	CCKAR	CCKBR	EGFR	ERBB2	ERBB3	ERBB4	PDGFRA	PDGFRB	GNAQ	GNA11	GNA14	GNA15	PLCD1	PLCD3	PLCD4	PLCB1	PLCB2	PLCB3	PLCB4	PLCG1	PLCG2	PLCE1	PLCZ1	ITPR1	ITPR2	ITPR3	CD38	SPHK1	SPHK2	VDAC1	VDAC2	VDAC3	SLC25A4	SLC25A5	SLC25A6	SLC25A31	PPIF	TNNC1	TNNC2	CALML3	CALM2	CALM3	CALM1	CALML6	CALML5	PHKG1	PHKG2	PHKB	PHKA2	PHKA1	MYLK	MYLK2	MYLK3	MYLK4	CAMK2A	CAMK2D	CAMK2B	CAMK2G	CAMK4	PPP3CA	PPP3CB	PPP3CC	PPP3R1	PPP3R2	NOS1	NOS2	NOS3	PDE1A	PDE1B	PDE1C	PTK2B	ITPKB	ITPKA	ITPKC	PRKCA	PRKCB	PRKCG																																																																																																																																																																							
CGMP-PKG_SIGNALING_PATHWAY	dummytext	AGTR1	EDNRA	EDNRB	ADRA1A	ADRA1B	ADRA1D	ADRA2A	ADRA2B	ADRA2C	GNAQ	GNA11	GNA12	GNA13	TRPC6	PPP3CA	PPP3CB	PPP3CC	PPP3R1	PPP3R2	MEF2A	MEF2BNB-MEF2B	MEF2B	MEF2C	MEF2D	NFATC1	NFATC2	NFATC3	NFATC4	SRF	GATA4	NPPB	NPR1	NPR2	PRKG1	PRKG2	CACNA1C	CACNA1D	CACNA1F	CACNA1S	KCNMA1	KCNU1	KCNMB1	KCNMB2	KCNMB3	KCNMB4	SLC8A1	SLC8A2	SLC8A3	ATP1A1	ATP1A2	ATP1A3	ATP1A4	ATP1B4	ATP1B1	ATP1B2	ATP1B3	FXYD2	ATP2B1	ATP2B3	ATP2B4	ATP2B2	RGS2	GTF2IRD1	GTF2I	PLCB1	PLCB2	PLCB3	PLCB4	ITPR1	ITPR2	ITPR3	MRVI1	PLN	ATP2A1	ATP2A3	ATP2A2	RHOA	ROCK1	ROCK2	PPP1R12A	PPP1CA	PPP1CB	PPP1CC	CALML3	CALM2	CALM3	CALM1	CALML6	CALML5	MYLK	MYLK2	MYLK3	MYLK4	MYL9	CNGA1	CNGB1	ADCY1	ADCY2	ADCY3	ADCY4	ADCY5	ADCY6	ADCY7	ADCY8	ADCY9	PDE2A	PDE3A	PDE3B	PDE5A	GUCY1A2	GUCY1A3	GUCY1B3	BDKRB2	OPRD1	ADORA1	ADORA3	GNAI1	GNAI3	GNAI2	INS	INSR	IRS1	IRS2	IRS4	PIK3CA	PIK3CD	PIK3CB	PIK3CG	PIK3R1	PIK3R5	PIK3R2	PIK3R3	AKT1	AKT2	AKT3	NOS3	ADRB1	ADRB2	ADRB3	PRKCE	KCNJ8	VDAC1	VDAC2	VDAC3	SLC25A4	SLC25A5	SLC25A6	SLC25A31	PPIF	CREB1	ATF2	ATF4	CREB3	CREB3L1	CREB3L2	CREB3L3	CREB3L4	CREB5	ATF6B	BAD	VASP	RAF1	MAP2K1	MAP2K2	MAPK1	MAPK3	MYH7																																																																																																																																																																																				
CAMP_SIGNALING_PATHWAY	dummytext	FSHB	ADRB1	DRD1	DRD5	ADORA2A	HTR4	HTR6	PTGER2	ADCYAP1R1	VIPR2	TSHR	MC2R	GLP1R	GIPR	GPR119	FSHR	NPR1	GNAS	NPY	GHRL	ADRB2	HTR1A	HTR1B	HTR1D	HTR1E	HTR1F	CHRM1	CHRM2	DRD2	GABBR1	GABBR2	ADORA1	EDNRA	NPY1R	SSTR1	SSTR2	SSTR5	HCAR1	HCAR2	HCAR3	FFAR2	SUCNR1	PTGER3	OXTR	GHSR	GNAI1	GNAI3	GNAI2	ADCY1	ADCY2	ADCY3	ADCY4	ADCY5	ADCY6	ADCY7	ADCY8	ADCY9	ADCY10	HCN2	HCN4	CNGA1	CNGA2	CNGA3	CNGA4	CNGB1	CNGB3	CALML3	CALM2	CALM3	CALM1	CALML6	CALML5	CAMK2A	CAMK2D	CAMK2B	CAMK2G	CAMK4	ABCC4	RAPGEF3	RAPGEF4	RRAS	RRAS2	PLD1	PLD2	PLCE1	MAPK8	MAPK10	MAPK9	RAP1A	RAP1B	TIAM1	VAV3	VAV1	VAV2	RAC1	RAC2	RAC3	PAK1	ARAP3	RHOA	MLLT4	PIK3CA	PIK3CD	PIK3CB	PIK3CG	PIK3R1	PIK3R5	PIK3R2	PIK3R3	AKT1	AKT2	AKT3	BRAF	RAF1	MAP2K1	MAP2K2	MAPK1	MAPK3	PRKACA	PRKACB	PRKACG	PRKX	PPP1R1B	PPP1CA	PPP1CB	PPP1CC	CREB1	CREB3	CREB3L1	CREB3L2	CREB3L3	CREB3L4	CREB5	CREBBP	EP300	BDNF	FOS	JUN	GLI3	GLI1	PTCH1	HHIP	NFKBIA	NFKB1	RELA	SOX9	AMH	PPARA	ACOX3	ACOX1	NFATC1	F2R	BAD	LIPE	ROCK1	ROCK2	PPP1R12A	MYL9	TNNI3	PLN	RYR2	GRIN1	GRIN2A	GRIN2B	GRIN2C	GRIN2D	GRIN3A	GRIN3B	GRIA1	GRIA2	GRIA3	GRIA4	CFTR	ATP1A1	ATP1A2	ATP1A3	ATP1A4	ATP1B4	ATP1B1	ATP1B2	ATP1B3	FXYD2	FXYD1	SLC9A1	ORAI1	ATP2B1	ATP2B3	ATP2B4	ATP2B2	CACNA1C	CACNA1D	CACNA1F	CACNA1S	PDE3A	PDE3B	PDE4A	PDE4B	PDE4C	PDE4D	ATP2A2																																																																																																																																																			
CHEMOKINE_SIGNALING_PATHWAY	dummytext	CXCL1	CXCL2	CXCL3	CXCL5	CXCL6	PPBP	CXCL8	CXCL9	CXCL10	CXCL11	CXCL12	CXCL13	CXCL16	PF4	PF4V1	CXCL14	XCL1	XCL2	CX3CL1	CCL2	CCL3	CCL3L1	CCL3L3	CCL4	CCL4L2	CCL4L1	CCL5	CCL7	CCL8	CCL11	CCL13	CCL15	CCL23	CCL19	CCL20	CCL21	CCL25	CCL27	CCL28	CCL1	CCL14	CCL16	CCL17	CCL18	CCL22	CCL24	CCL26	CXCR2	CXCR1	CXCR3	CXCR4	CXCR5	CXCR6	XCR1	CX3CR1	CCR8	CCR6	CCR9	CCR4	CCR7	CCR2	CCR5	CCR1	CCR3	CCR10	JAK2	JAK3	STAT1	STAT2	STAT3	STAT5B	GNAI1	GNAI3	GNAI2	ADCY1	ADCY2	ADCY3	ADCY4	ADCY5	ADCY6	ADCY7	ADCY8	ADCY9	PRKACA	PRKACB	PRKACG	PRKX	LYN	HCK	FGR	SRC	SHC1	SHC2	SHC3	SHC4	GRB2	SOS1	SOS2	HRAS	KRAS	NRAS	RAF1	BRAF	MAP2K1	MAPK1	MAPK3	PIK3R1	PIK3R5	PIK3R2	PIK3R3	PIK3CA	PIK3CD	PIK3CB	PIK3CG	PRKCZ	AKT1	AKT2	AKT3	FOXO3	CHUK	IKBKB	IKBKG	NFKBIA	NFKBIB	NFKB1	RELA	GSK3A	GSK3B	ITK	VAV3	VAV1	VAV2	RAC1	RAC2	PAK1	CDC42	WAS	WASL	RHOA	ROCK1	ROCK2	GNB1	GNB2	GNB3	GNB4	GNB5	GNG2	GNG3	GNG4	GNG5	GNG7	GNG8	GNG10	GNG11	GNG12	protein)	GNG13	GNGT1	GNGT2	PREX1	ELMO1	DOCK2	PTK2	PXN	BCAR1	CRK	CRKL	PTK2B	PLCB1	PLCB2	PLCB3	PLCB4	RASGRP2	RAP1A	RAP1B	PARD3	TIAM1	NCF1	GRK7	GRK1	ADRBK1	ADRBK2	GRK4	GRK5	GRK6	ARRB1	ARRB2	PRKCB	PRKCD																																																																																																																																																														
NF-KAPPA_B_SIGNALING_PATHWAY	dummytext	LCK	ZAP70	LAT	PLCG1	PRKCQ	SYK	LYN	BLNK	BTK	PLCG2	CARD11	BCL10	MALT1	IL1B	IL1R1	MYD88	IRAK1	IRAK4	TRAF6	TNF	TNFRSF1A	RIPK1	TRADD	TRAF2	TRAF5	BIRC2	BIRC3	DDX58	TRIM25	LBP	CD14	TLR4	LY96	TIRAP	TICAM2	TICAM1	CD40LG	CD40	TRAF3	TNFSF11	TNFRSF11A	LTA	LTB	TNFSF14	LTBR	MAP3K14	MAP3K7	TAB1	TAB2	TAB3	TNFSF13B	TNFRSF13C	IKBKG	CHUK	IKBKB	PIAS4	UBE2I	ATM	PIDD1	ERC1	NFKBIA	NFKB1	RELA	CFLAR	XIAP	BCL2L1	BCL2	TRAF1	BCL2A1	NFKB2	CXCL8	TNFAIP3	PTGS2	CCL4	CCL4L2	CCL4L1	VCAM1	PLAU	CSNK2A1	CSNK2A2	CSNK2B	RELB	CCL13	CCL19	CCL21	CXCL12	ICAM1	PARP1	CXCL2	GADD45B	PRKCB																																																																																																																																																																																																																																																																
HIF-1_SIGNALING_PATHWAY	dummytext	IL6	IL6R	STAT3	TLR4	IFNG	IFNGR1	IFNGR2	RELA	NFKB1	INS	EGF	IGF1	INSR	EGFR	IGF1R	ERBB2	MAP2K1	MAP2K2	MAPK1	MAPK3	MKNK1	MKNK2	PIK3CA	PIK3CD	PIK3CB	PIK3CG	PIK3R1	PIK3R5	PIK3R2	PIK3R3	AKT1	AKT2	AKT3	MTOR	EIF4EBP1	EIF4E	EIF4E2	EIF4E1B	RPS6KB1	RPS6KB2	RPS6	HIF1A	VHL	RBX1	TCEB1	TCEB2	CUL2	EGLN1	EGLN3	EGLN2	ARNT	CREBBP	EP300	NOX3	NOX1	CYBB	PLCG1	PLCG2	PRKCA	PRKCB	PRKCG	CAMK2A	CAMK2D	CAMK2B	CAMK2G	TIMP1	LTBR	EPO	TF	TFRC	VEGFA	FLT1	SERPINE1	ANGPT1	ANGPT2	ANGPT4	TEK	EDN1	NOS2	NOS3	NPPA	SLC2A1	PDK1	HK3	HK1	HK2	HKDC1	GAPDH	ENO3	ENO2	ENO1	PFKFB3	BCL2	CDKN1A	CDKN1B	PDHA2	PDHA1	PDHB	ALDOA	HMOX1	LDHA	PFKL	PGK1																																																																																																																																																																																																																																																				
FOXO_SIGNALING_PATHWAY	dummytext	TGFB1	TGFB2	TGFB3	TGFBR1	TGFBR2	SMAD4	SMAD2	SMAD3	STK11	PRKAA1	PRKAA2	PRKAB1	PRKAB2	PRKAG1	PRKAG3	PRKAG2	NLK	SKP2	MDM2	SETD7	CREBBP	EP300	SIRT1	USP7	SLC2A4	MAPK8	MAPK10	MAPK9	STK4	IGF1	IGF1R	INS	INSR	IRS1	IRS2	IRS4	PIK3CA	PIK3CD	PIK3CB	PIK3CG	PIK3R1	PIK3R5	PIK3R2	PIK3R3	PDPK1	CHUK	IKBKB	PTEN	AKT1	AKT2	AKT3	SGK1	SGK2	SGK3	C8orf44-SGK3	FOXO1	FOXO3	FOXO4	FOXO6	GRM1	HOMER1	HOMER2	HOMER3	AGAP2	CSNK1E	readthrough	IL6	IL10	STAT3	EGF	EGFR	GRB2	SOS1	SOS2	HRAS	KRAS	NRAS	BRAF	RAF1	ARAF	MAP2K1	MAP2K2	MAPK1	MAPK3	MAPK11	MAPK12	MAPK13	MAPK14	CDK2	PRMT1	FOXG1	CCNB1	CCNB2	CCNB3	CCND1	CCND2	CCNG2	CDKN2B	CDKN2D	CDKN1A	CDKN1B	RBL2	PLK1	PLK2	PLK3	PLK4	GADD45A	GADD45B	GADD45G	FASLG	BCL2L11	TNFSF10	BCL6	BNIP3	ATG12	GABARAP	GABARAPL1	GABARAPL2	CAT	SOD2	ATM	PCK1	PCK2	G6PC	G6PC2	G6PC3	IL7R	KLF2	S1PR1	S1PR4	RAG1	RAG2	FBXO25	FBXO32																																																																																																																																																																																																																					
